City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saskylakh,64,RU,1546573153,66,71.97,114.09,-0.77,10.67
kruisfontein,0,ZA,1546573153,85,-34,24.73,62.6,9.22
east london,0,ZA,1546570800,88,-33.02,27.91,62.6,5.82
tuktoyaktuk,90,CA,1546570800,84,69.44,-133.03,5,8.05
homer,1,US,1546570380,84,59.64,-151.54,21.02,3.36
zeitz,92,DE,1546572000,86,51.05,12.13,32,5.82
kincardine,90,GB,1546570200,86,56.07,-3.72,41,9.17
hobart,20,AU,1546570800,53,-42.88,147.33,75.2,21.92
helong,100,CN,1546573155,96,25.94,116.13,49.77,3.4
ilulissat,48,GL,1546570200,78,69.22,-51.1,12.2,8.05
san cristobal,40,EC,1546570800,87,-0.39,-78.55,57.2,2.24
barra do garcas,24,BR,1546573043,77,-15.89,-52.26,76.5,2.84
lavrentiya,88,RU,1546573156,95,65.58,-170.99,11.52,16.04
huilong,92,CN,1546573156,99,28.89,110.18,34.75,3.18
khatanga,64,RU,1546573157,69,71.98,102.47,-1.39,9.78
briceno,12,CO,1546573157,100,7.11,-75.55,62.6,0.72
tautira,20,PF,1546570800,62,-17.73,-149.15,87.8,8.05
angoche,8,MZ,1546573158,100,-16.23,39.91,84.16,7.2
pevek,64,RU,1546573158,83,69.7,170.27,-9.05,17.49
puro,64,PH,1546573158,78,13.13,123.76,80.82,17.94
vila velha,40,BR,1546570800,78,-3.71,-38.6,82.4,14.99
torbay,20,CA,1546570800,84,47.66,-52.73,8.6,2.24
sivaki,44,RU,1546573159,67,52.63,126.75,-9.77,3.74
saint george,90,GR,1546572000,90,39.45,22.34,33.8,6.93
canavieiras,0,BR,1546573159,91,-15.68,-38.95,76.01,5.3
muana,64,BR,1546573160,95,-1.53,-49.22,79.7,10.78
mayo,40,CA,1546570800,75,63.59,-135.9,-14.81,2.51
seoul,75,KR,1546571400,42,37.57,126.98,32,1.12
naze,12,NG,1546573160,90,5.43,7.07,73.31,4.74
arsikere,0,IN,1546573161,65,13.31,76.26,58.95,7.99
banda aceh,8,ID,1546573161,69,5.56,95.32,83.21,3.62
faya,0,SA,1546570800,66,18.39,42.45,53.6,2.28
namibe,36,AO,1546573162,100,-15.19,12.15,74.3,2.95
chokurdakh,56,RU,1546573162,69,70.62,147.9,-9.81,6.08
paamiut,80,GL,1546573162,100,61.99,-49.67,27.27,22.3
ahipara,0,NZ,1546573163,71,-35.17,173.16,72.23,16.82
sola,90,FI,1546572000,84,62.78,29.36,6.8,6.93
durazno,0,UY,1546573163,81,-33.38,-56.52,58.5,7.99
paka,0,HR,1546570800,85,45.29,18.06,24.8,10.29
kumbo,12,CM,1546573164,64,6.21,10.69,57.65,1.72
ambon,0,FR,1546570800,92,47.55,-2.56,33.8,8.05
porto novo,75,BR,1546570800,100,-23.68,-45.44,69.8,3.36
barrow,0,AR,1546573165,48,-38.31,-60.23,61.52,10.67
nova olimpia,8,BR,1546573165,84,-14.8,-57.29,78.8,4.18
tual,76,ID,1546573165,100,-5.67,132.75,81.45,13.8
georgetown,40,GY,1546570800,94,6.8,-58.16,78.8,4.7
the pas,1,CA,1546570800,80,53.82,-101.24,30.2,11.41
middelkerke,75,BE,1546572000,75,51.19,2.82,41,8.05
yellowknife,75,CA,1546570800,77,62.45,-114.38,-0.41,11.41
naifaru,48,MV,1546573168,100,5.44,73.37,82.54,17.72
kodinsk,36,RU,1546573168,65,58.6,99.18,-8.46,5.75
damghan,0,IR,1546573168,84,36.17,54.34,34.2,13.13
kahului,40,US,1546570560,62,20.89,-156.47,78.08,19.46
lao cai,56,VN,1546573169,94,22.48,103.95,54.41,1.16
dingle,88,PH,1546573169,89,11,122.67,78.26,15.7
ribeira grande,92,PT,1546573170,99,38.52,-28.7,62.73,18.16
castro,56,CL,1546570800,93,-42.48,-73.76,50,5.82
bambous virieux,20,MU,1546570800,83,-20.34,57.76,80.6,4.7
kapit,24,MY,1546573171,81,2.02,112.94,83.66,2.17
namie,75,JP,1546570800,56,37.52,140.86,46.4,12.75
grand forks,1,US,1546571700,84,47.91,-97.06,33.8,10.29
izumo,40,JP,1546570800,61,35.37,132.75,51.8,1.12
kavieng,68,PG,1546573172,100,-2.57,150.8,84.79,15.03
lata,20,IN,1546573172,66,30.78,78.62,21.83,1.83
puerto ayora,8,EC,1546573173,100,-0.74,-90.35,76.37,8.99
carnarvon,0,ZA,1546573173,58,-30.97,22.13,59.9,4.97
port elizabeth,1,US,1546570560,77,39.31,-74.98,39.02,5.82
nanortalik,92,GL,1546573174,87,60.14,-45.24,34.25,28.9
tshikapa,64,CD,1546573174,93,-6.42,20.79,74.03,1.5
port macquarie,0,AU,1546570800,49,-31.43,152.91,91.4,16.11
comodoro rivadavia,0,AR,1546570800,77,-45.87,-67.48,59,9.17
faanui,8,PF,1546573175,100,-16.48,-151.75,83.57,3.85
labuhan,44,ID,1546573175,74,-2.54,115.51,86.22,3.29
butaritari,92,KI,1546573176,100,3.07,172.79,83.3,15.59
xiangxiang,92,CN,1546573176,98,27.73,112.52,35.6,7.2
bandarbeyla,100,SO,1546573177,100,9.49,50.81,76.5,16.49
dikson,68,RU,1546573177,87,73.51,80.55,2.52,6.08
saint-paul,0,FR,1546570800,73,45.22,1.9,21.2,2.73
sarny,88,UA,1546573178,87,51.32,26.62,28.22,15.26
vardo,1,US,1546571700,69,39.62,-77.74,35.6,4.7
ekibastuz,48,KZ,1546573178,62,51.72,75.32,-13.46,3.18
conceicao da barra,36,BR,1546573179,92,-18.59,-39.73,79.25,14.58
honiara,88,SB,1546573179,100,-9.43,159.96,77.5,3.18
chimbote,76,PE,1546573180,95,-9.08,-78.59,65.97,6.42
inuvik,90,CA,1546570800,84,68.36,-133.71,8.6,9.17
benguela,20,AO,1546573180,100,-12.58,13.4,73.9,2.17
longyearbyen,20,NO,1546570200,78,78.22,15.63,15.8,2.24
sumenep,92,ID,1546573181,100,-7.02,113.87,79.88,7.54
sorland,92,NO,1546573181,100,67.67,12.69,41.4,10.67
acapulco,20,MX,1546569840,78,16.86,-99.88,78.8,4.7
leshukonskoye,68,RU,1546573181,87,64.9,45.76,15.31,3.06
asmar,92,AF,1546573182,63,35.03,71.36,32.67,2.06
kavaratti,0,IN,1546573182,100,10.57,72.64,83.03,7.99
morgan city,90,US,1546571700,100,29.7,-91.21,62.42,16.11
cabo san lucas,40,MX,1546570560,77,22.89,-109.91,60.8,3.36
ponta do sol,80,BR,1546573183,97,-20.63,-46,67.32,3.06
petatlan,40,MX,1546569780,78,17.52,-101.27,77,8.77
rawson,36,AR,1546573184,28,-43.3,-65.11,70.52,6.31
ibra,8,OM,1546573184,97,22.69,58.55,52.52,0.6
kafanchan,0,NG,1546573184,47,9.58,8.3,60.26,7.2
ilinge,0,ZA,1546573185,100,-31.98,27.04,50.36,2.51
ostrovnoy,24,RU,1546573185,80,68.05,39.51,6.17,13.8
murgab,90,TM,1546570800,100,37.5,61.97,41,13.87
nemuro,20,JP,1546570800,58,43.32,145.57,28.4,9.17
vao,88,EE,1546573186,86,59.1,26.19,15.49,5.86
samarai,24,PG,1546573186,100,-10.62,150.67,82.81,24.87
arecibo,24,PR,1546573187,94,18.47,-66.72,77,14.47
lorengau,56,PG,1546573187,100,-2.02,147.27,82.45,16.26
hovd,75,NO,1546570200,93,63.83,10.7,44.6,19.46
la macarena,76,CO,1546573188,48,2.18,-73.79,82.18,2.95
codrington,0,AU,1546570800,43,-28.95,153.24,91.4,10.29
upernavik,92,GL,1546573189,100,72.79,-56.15,15.08,11.68
ati,20,TD,1546573189,35,13.21,18.34,63.45,7.54
mahibadhoo,88,MV,1546573189,99,3.78,72.97,83.07,18.72
hasaki,20,JP,1546570800,36,35.73,140.83,48.2,4.7
gat,20,SN,1546570800,35,14.69,-16.54,69.8,4.97
cabedelo,20,BR,1546570800,83,-6.97,-34.84,77,4.7
dana point,1,US,1546571700,66,33.47,-117.7,57.02,3.74
elko,1,US,1546570560,70,40.83,-115.76,15.98,5.82
saint-francois,20,FR,1546570800,92,46.42,3.91,24.8,3.36
gigmoto,68,PH,1546573192,95,13.78,124.39,80.96,20.85
narsaq,92,GL,1546573192,77,60.91,-46.05,21.79,8.21
tuatapere,32,NZ,1546573193,84,-46.13,167.69,60.53,16.26
vilyuysk,56,RU,1546573193,58,63.75,121.63,-6.21,8.1
hobyo,80,SO,1546573194,92,5.35,48.53,76.23,19.84
qandala,0,SO,1546573194,100,11.47,49.87,56.3,3.4
new norfolk,20,AU,1546570800,53,-42.78,147.06,75.2,21.92
upington,0,ZA,1546570800,68,-28.46,21.24,73.4,3.36
mehamn,92,NO,1546573195,94,71.03,27.85,21.15,3.74
norman wells,75,CA,1546570800,92,65.28,-126.83,14,4.7
mar del plata,100,AR,1546572965,37,-46.43,-67.52,70.61,10.67
kemi,90,FI,1546572000,92,65.74,24.56,19.4,2.24
taltal,0,CL,1546573196,91,-25.41,-70.49,61.66,1.61
tiarei,20,PF,1546570800,62,-17.53,-149.33,87.8,8.05
timbiqui,92,CO,1546573197,100,2.77,-77.67,74.52,2.73
kribi,36,CM,1546573197,100,2.94,9.91,72.1,2.73
savinka,88,RU,1546573197,88,50.08,47.1,21.33,15.26
alofi,92,NU,1546573198,100,-19.06,-169.92,76.69,15.48
shingu,0,JP,1546570800,43,33.72,135.99,50,3.36
ilhabela,56,BR,1546572919,90,-23.78,-45.36,80.37,7.76
saldanha,0,PT,1546573198,74,41.42,-6.55,19.13,2.62
pisco,90,PE,1546570800,78,-13.71,-76.2,71.6,12.75
chuy,8,UY,1546573199,89,-33.69,-53.46,60.04,8.1
plettenberg bay,0,ZA,1546573199,99,-34.05,23.37,64.58,5.3
hay river,90,CA,1546570800,72,60.82,-115.79,15.8,13.87
aklavik,90,CA,1546570800,84,68.22,-135.01,8.6,9.17
tura,0,IN,1546573200,83,25.52,90.21,59.45,3.29
sorong,8,ID,1546573200,99,-0.86,131.25,84.11,3.29
half moon bay,75,US,1546570560,63,37.46,-122.43,50,3.36
nome,90,US,1546571700,83,30.04,-94.42,48.02,13.87
itoman,20,JP,1546570800,56,26.12,127.67,71.24,10.29
lagoa,0,PT,1546570800,93,37.14,-8.45,51.8,6.93
lebu,32,ET,1546570800,93,8.96,38.73,46.4,9.17
tasiilaq,92,GL,1546570200,86,65.61,-37.64,33.8,25.28
elizabeth city,90,US,1546570800,79,36.3,-76.22,49.1,5.82
longhua,32,CN,1546573203,100,29.21,106.21,42.08,4.07
saint-joseph,0,FR,1546570800,92,43.56,6.97,28.4,3.62
monchegorsk,80,RU,1546573204,89,67.94,32.93,10.81,5.97
haimen,92,CN,1546573204,100,31.87,121.18,50.13,10.22
cidreira,100,BR,1546573205,100,-30.17,-50.22,69.57,8.77
isangel,20,VU,1546573205,100,-19.55,169.27,78.26,22.97
nadvoitsy,76,RU,1546573205,75,63.89,34.27,7.83,6.64
muyezerskiy,92,RU,1546573206,73,63.93,31.65,12.25,7.65
zharkent,64,KZ,1546573206,71,44.17,80,6.75,2.62
hamilton,75,CA,1546570800,100,43.26,-79.87,35.6,16.11
xining,76,CN,1546573207,65,36.62,101.77,11.48,3.62
marzuq,0,YE,1546573207,70,14.4,46.47,33.08,2.62
salalah,20,OM,1546570200,59,17.01,54.1,66.2,5.82
te anau,88,NZ,1546573185,54,-45.41,167.72,61.43,8.21
mineros,75,BO,1546570800,94,-17.12,-63.23,75.2,3.36
grindavik,90,IS,1546570800,100,63.84,-22.43,50,23.04
russell,0,AR,1546573209,62,-33.01,-68.8,54.45,2.51
yar-sale,80,RU,1546573209,97,66.83,70.83,17.82,12.01
kula,0,RS,1546570800,85,45.61,19.53,24.8,10.29
tiksi,36,RU,1546573210,56,71.64,128.87,-5.72,19.95
puerto escondido,40,MX,1546569660,74,15.86,-97.07,78.8,2.84
ulaangom,0,MN,1546573210,0,49.98,92.07,-33.98,0.72
alta floresta,20,BR,1546573211,98,-9.87,-56.08,72.45,1.95
los llanos de aridane,20,ES,1546570800,67,28.66,-17.92,62.6,8.05
methoni,92,GR,1546573211,100,36.82,21.7,53.15,25.32
yumen,12,CN,1546573212,70,40.29,97.04,0.86,3.18
likasi,56,CD,1546573212,100,-10.99,26.74,66.56,3.18
lompoc,1,US,1546570680,76,34.64,-120.46,48.92,3.36
waipawa,48,NZ,1546573212,50,-39.94,176.59,72.77,8.43
oros,56,HU,1546573213,86,47.95,21.8,23.85,11.01
broome,0,GB,1546570560,98,52.47,1.45,32,3.36
kenora,40,CA,1546570800,92,49.76,-94.48,28.4,6.93
mutare,88,MZ,1546573189,99,-18.97,32.67,64.67,2.73
cap-aux-meules,75,CA,1546570800,79,47.38,-61.86,19.4,5.82
los alamos,1,US,1546570380,73,35.88,-106.3,15.98,2.95
kamaishi,75,JP,1546570800,74,39.28,141.86,37.4,3.36
carballo,0,ES,1546570800,84,43.21,-8.69,39.2,2.24
elat,68,CM,1546573215,97,2.91,11.16,69.12,2.28
patancheru,0,IN,1546570800,77,17.53,78.27,69.8,2.24
san andres,88,PH,1546573216,96,13.32,122.68,81.32,21.41
phek,0,IN,1546573216,83,25.7,94.46,53.87,2.17
padang,75,ID,1546570800,83,-0.92,100.36,82.4,4.7
virginia beach,90,US,1546572360,100,36.85,-75.98,48.92,3.51
fort nelson,5,CA,1546570800,84,58.81,-122.69,8.6,2.24
tinskoy,24,RU,1546573218,59,56.15,96.92,-6.66,2.95
beringovskiy,0,RU,1546573218,100,63.05,179.32,-18.32,18.28
nelson bay,0,AU,1546570800,41,-32.72,152.14,93.2,12.75
abashiri,20,JP,1546570800,62,44.01,144.25,21.2,2.24
chum phae,24,TH,1546573219,56,16.54,102.1,74.66,3.51
chapais,90,CA,1546572180,92,49.78,-74.86,14,8.05
margate,20,AU,1546570800,53,-43.03,147.26,75.2,21.92
kloulklubed,90,PW,1546570200,83,7.04,134.26,80.6,9.17
melhus,75,NO,1546570200,93,63.29,10.28,44.6,19.46
coihaique,0,CL,1546570800,55,-45.58,-72.07,60.8,12.75
portland,90,US,1546570380,79,45.52,-122.67,51.98,11.41
arraial do cabo,0,BR,1546573221,90,-22.97,-42.02,76.91,13.13
oranjemund,92,ZA,1546573221,95,-28.55,16.43,62.73,7.99
rodino,68,RU,1546573222,68,52.5,80.2,-9.41,4.74
valleyview,92,CA,1546573222,81,55.07,-117.28,22.1,2.95
husavik,44,CA,1546573222,87,50.56,-96.99,26.6,8.43
champerico,40,MX,1546570200,73,16.38,-93.6,75.2,8.05
kirando,48,TZ,1546573223,100,-7.37,30.62,70.2,4.63
baiima,0,SL,1546573223,88,8.11,-11.85,67.37,2.62
bekeshevskaya,90,RU,1546570800,71,44.11,42.43,32,8.95
hit,0,IQ,1546573224,83,33.64,42.83,39.65,2.62
ratnagiri,0,IN,1546573224,100,16.98,73.3,77.18,5.19
mnogovershinnyy,0,RU,1546573225,55,53.94,139.92,9.41,7.76
santa isabel,32,CO,1546573225,79,4.71,-75.1,62.15,1.39
thompson,5,CA,1546570800,92,55.74,-97.86,15.8,8.05
saint-marc-des-carrieres,90,CA,1546571460,92,46.68,-72.05,15.8,6.93
taoudenni,0,ML,1546573227,53,22.68,-3.98,44.29,10.22
rock sound,92,BS,1546573227,100,24.9,-76.2,76.55,11.56
casimiro de abreu,44,BR,1546573227,93,-22.48,-42.2,71.51,2.62
mount isa,40,AU,1546570800,20,-20.73,139.49,102.2,6.93
parabel,80,RU,1546573228,71,58.71,81.5,-1.57,6.64
cananeia,88,BR,1546573228,100,-25.01,-47.93,76.5,7.2
shakhtinsk,40,KZ,1546570800,75,49.71,72.59,-20.21,11.18
middletown,90,US,1546570560,77,41.45,-74.42,35.96,3.36
zyryanka,56,RU,1546573230,67,65.73,150.89,-4.73,2.39
kudahuvadhoo,20,MV,1546573230,100,2.67,72.89,82.22,10
luwuk,76,ID,1546573230,76,-0.95,122.79,86.41,2.62
jumla,0,NP,1546573231,49,29.28,82.18,10.67,1.39
shetpe,36,KZ,1546573231,85,44.14,52.16,23.13,8.66
cairns,0,AU,1546570800,58,-16.92,145.77,87.8,17.22
umm lajj,44,SA,1546573231,100,25.02,37.27,56.3,7.65
brae,92,GB,1546570200,93,60.4,-1.35,48.2,17.22
matay,0,EG,1546573232,81,28.42,30.79,37.13,5.3
marovoay,40,MG,1546570800,83,-16.11,46.64,77,2.24
eyl,76,SO,1546573233,98,7.98,49.82,75.02,18.05
kargasok,76,RU,1546573233,64,59.06,80.87,0.68,5.3
naryan-mar,20,RU,1546573234,52,67.67,53.09,1.04,2.73
bonthe,0,SL,1546573234,86,7.53,-12.5,79.2,4.63
cartagena,0,ES,1546570800,93,37.63,-1,41,2.24
sitka,0,US,1546573234,72,37.17,-99.65,24.4,7.99
kasese,48,UG,1546573235,99,0.17,30.09,63.68,1.61
finschhafen,32,PG,1546573235,74,-6.6,147.85,83.44,3.4
laguna,0,MX,1546573235,52,27.52,-110.01,51.49,4.07
namatanai,56,PG,1546573236,100,-3.66,152.44,83.21,13.91
graaff-reinet,0,ZA,1546573236,90,-32.25,24.53,51.85,1.39
camopi,80,GF,1546573236,95,3.17,-52.33,74.35,2.39
bargarh,0,IN,1546573236,84,25.14,81.45,53.78,3.96
tahe,12,CN,1546573237,47,52.34,124.71,-3.11,5.53
tornabe,20,HN,1546570800,83,15.79,-87.52,77,2.24
camacupa,88,AO,1546573237,99,-12.02,17.48,63.27,1.05
atbasar,20,KZ,1546573238,71,51.81,68.36,-16.25,4.74
shimoda,20,JP,1546570800,46,34.7,138.93,50,8.05
adrar,0,DZ,1546573238,82,27.87,-0.29,41.05,9.55
pangnirtung,24,CA,1546573238,30,66.15,-65.72,-21.06,1.39
sarh,0,TD,1546570800,52,9.14,18.39,68,9.78
vestmannaeyjar,100,IS,1546573239,93,63.44,-20.27,47.88,22.53
port hedland,8,AU,1546571040,56,-20.31,118.58,93.2,18.34
cherskiy,68,RU,1546573240,79,68.75,161.3,-18.36,5.86
quthing,76,LS,1546573240,96,-30.4,27.7,55.35,2.95
longyan,92,CN,1546573241,88,25.1,117.03,59.18,2.39
chesapeake,20,US,1546572360,100,36.72,-76.25,48.92,3.51
nieuw amsterdam,75,SR,1546570800,94,5.88,-55.08,77,4.7
merritt island,1,US,1546570560,89,28.54,-80.67,73.22,14.92
victoria,75,BN,1546570800,70,5.28,115.24,87.8,9.17
sistranda,75,NO,1546570200,100,63.73,8.83,44.6,25.28
canoa,20,CU,1546570260,88,22.56,-79.83,69.8,1.12
newport,40,GB,1546570200,92,51.59,-3,32,2.24
xichang,0,CN,1546573244,24,27.88,102.25,49.28,1.95
aykhal,8,RU,1546573245,64,65.95,111.51,-15.03,5.97
buraydah,0,SA,1546570800,93,26.33,43.97,44.6,3.36
pouembout,56,NC,1546573245,46,-21.12,164.9,83.57,8.43
novo aripuana,36,BR,1546573246,95,-5.12,-60.38,76.01,1.16
dormont,1,US,1546571700,81,40.4,-80.03,32,8.05
vostok,36,RU,1546573246,66,46.45,135.83,9.63,2.62
glenwood springs,1,US,1546571520,68,39.55,-107.33,26.6,4.7
necochea,0,AR,1546573006,66,-38.55,-58.74,59.81,7.54
flin flon,0,CA,1546573248,82,54.77,-101.88,19.4,7.54
mallapuram,0,IN,1546573248,69,11.97,78.27,62.82,5.19
hecun,100,CN,1546573248,100,29.94,119.31,44.42,3.4
palembang,40,ID,1546570800,70,-2.99,104.76,86,2.24
mezen,56,RU,1546573249,89,65.85,44.24,11.75,3.96
isla vista,1,US,1546570560,55,34.41,-119.86,51.08,4.41
klyuchevsk,75,RU,1546570800,79,57.12,60.94,23,6.71
pasighat,92,IN,1546573250,99,28.06,95.33,47.8,2.06
oistins,75,BB,1546570800,69,13.07,-59.53,78.8,18.34
kokkola,90,FI,1546572000,93,63.84,23.13,32,5.82
awjilah,0,LY,1546573251,82,29.14,21.3,37.67,2.84
lanzhou,36,CN,1546570800,53,36.06,103.82,21.2,2.24
tulun,24,RU,1546573251,67,54.56,100.58,-9.9,2.95
nishihara,20,JP,1546570800,31,35.74,139.53,50,4.7
teya,5,MX,1546569780,74,21.05,-89.07,78.8,13.87
tucurui,76,BR,1546573252,96,-3.77,-49.67,73.76,2.39
guerrero negro,0,MX,1546573253,68,27.97,-114.04,52.47,9.66
smithers,90,CA,1546570800,92,54.78,-127.17,24.8,3.36
bulawayo,100,ZW,1546573253,99,-20.16,28.59,62.37,7.76
baltay,88,RU,1546573253,85,52.47,46.63,17.06,9.22
henties bay,8,NA,1546573254,98,-22.12,14.28,62.51,8.1
sao filipe,32,CV,1546573254,96,14.9,-24.5,73.62,11.01
yaan,32,NG,1546573255,48,7.38,8.57,67.77,4.74
broken hill,0,AU,1546570800,10,-31.97,141.45,109.4,14.99
am timan,12,TD,1546573255,31,11.04,20.28,70.3,10.56
ayagoz,88,KZ,1546573255,83,47.96,80.43,12.92,6.64
wajir,88,KE,1546573256,58,1.75,40.07,76.95,8.77
tokur,56,RU,1546573256,58,53.13,132.9,-7.88,2.84
pruszkow,75,PL,1546570800,68,52.17,20.81,26.6,11.41
marsh harbour,88,BS,1546573257,100,26.54,-77.06,75.25,11.12
rhyl,0,GB,1546570200,74,53.32,-3.49,41,6.93
zhigansk,56,RU,1546573257,75,66.77,123.37,-11.43,8.43
pierre,1,US,1546570380,75,44.37,-100.35,35.96,6.93
egvekinot,8,RU,1546573258,43,66.32,-179.17,-28.76,3.85
roebourne,0,AU,1546573258,38,-20.77,117.15,96.75,11.34
puerto colombia,0,CO,1546570800,83,10.99,-74.96,77,5.82
labuan,75,BN,1546570800,70,5.28,115.24,87.8,9.17
omboue,48,GA,1546573259,100,-1.57,9.26,80.29,1.16
vozhega,68,RU,1546573259,92,60.47,40.21,19.9,7.43
hami,36,CN,1546573260,70,42.84,93.51,10.17,6.64
luanda,75,AO,1546570800,83,-8.83,13.24,78.8,4.7
gawler,0,AU,1546571460,60,-34.6,138.75,73.4,25.28
lazarev,8,RU,1546573261,58,52.23,141.51,11.3,10.22
ubinskoye,64,RU,1546573261,63,55.31,79.68,-7.69,3.18
celestun,32,MX,1546573261,100,20.87,-90.4,74.66,7.87
vanavara,44,RU,1546573262,60,60.35,102.28,-12.92,6.31
nanakuli,20,US,1546570620,53,21.39,-158.15,80.06,10.29
tornio,90,FI,1546572000,84,61.12,27.27,14,4.7
rio gallegos,40,AR,1546570800,71,-51.62,-69.22,51.8,16.11
luderitz,24,NA,1546573263,87,-26.65,15.16,59,13.8
buala,92,SB,1546573263,98,-8.15,159.59,81.45,8.66
ajdabiya,92,LY,1546573263,97,30.75,20.22,49.55,3.51
lasa,75,CY,1546570800,67,34.92,32.53,62.6,16.11
taywarah,92,AF,1546573264,95,33.35,64.42,34.61,4.85
